Section 5.3 — The Effect of Tool Use
uplift = condition_B_acc - condition_A_acc; from __agentic_uplift__
Tool use = tool_presence_mean of the B cell (share of responses showing tool use)

=== Table: Agentic uplift (per model, per scenario) ===
| Model | Scen | Acc A | Acc B | Uplift | Tool use |
|---|---|---|---|---|---|
| GPT | S1 | 0.55 | 0.55 | -0.002 | 1.00 |
| GPT | S2-SC | 0.77 | 0.66 | -0.104 | 1.00 |
| GPT | S2-LI | 0.64 | 0.58 | -0.059 | 1.00 |
| Gemini | S1 | 0.83 | 0.64 | -0.188 | 0.99 |
| Gemini | S2-SC | 0.76 | 0.61 | -0.150 | 0.99 |
| Gemini | S2-LI | 0.73 | 0.60 | -0.129 | 1.00 |
| Claude | S1 | 0.74 | 0.74 | +0.000 | 1.00 |
| Claude | S2-SC | 0.68 | 0.66 | -0.020 | 1.00 |
| Claude | S2-LI | 0.53 | 0.51 | -0.012 | 0.95 |
